ID,Distance,Date,SellerG,Propertycount,Car,Method,CouncilArea,Suburb,Bathroom,Regionname,Address,Type,Postcode,BuildingArea,Lattitude,Bedroom2,Landsize,YearBuilt,Longtitude,Rooms,Price
0,28.8,4/11/2017,Barry,3533.0,3.0,S,Casey City Council,Doveton,1.0,South-Eastern Metropolitan,2 Claret St,h,3177.0,,-37.9941,3.0,,,145.2329,3.0,614000.0
1,25.9,25/11/2017,HAR,5812.0,2.0,S,Whittlesea City Council,Mernda,2.0,Northern Metropolitan,23 Shearwater Pl,h,3754.0,,-37.6132,4.0,,,145.0903,4.0,555000.0
2,11.2,24/09/2016,Ray,21650.0,,S,Darebin City Council,Reservoir,1.0,Northern Metropolitan,5 Jess St,h,3073.0,,-37.705,3.0,771.0,1965.0,145.0035,4.0,801000.0
3,3.3,12/11/2016,Williams,14887.0,1.0,S,Melbourne City Council,South Yarra,1.0,Southern Metropolitan,8/57 Adams St,u,3141.0,,-37.8356,1.0,630.0,,144.9773,1.0,555000.0
4,,25/02/2017,Trimson,7570.0,1.0,S,Maribyrnong City Council,Footscray,1.0,Western Metropolitan,3/22 Pickett St,u,3011.0,,-37.8012,2.0,0.0,,144.8964,2.0,360000.0
5,20.0,28/10/2017,O'Brien,6162.0,,S,Kingston City Council,Mentone,,South-Eastern Metropolitan,7/3 Childers St,u,3194.0,,-37.98223,,239.0,,145.06781,1.0,385000.0
6,8.8,17/06/2017,Hodges,2947.0,,SP,Banyule City Council,Heidelberg Heights,,Eastern Metropolitan,10 Wordsworth Av,h,3081.0,,,,,,,2.0,640000.0
7,14.7,24/02/2018,LJ,15542.0,3.0,S,Wyndham City Council,Point Cook,2.0,Western Metropolitan,36 Santander Cr,h,3030.0,,-37.89783,4.0,864.0,,144.73717,4.0,811000.0
8,8.7,27/11/2016,Biggin,4918.0,,S,Maribyrnong City Council,Maribyrnong,,Western Metropolitan,26 Waterford Av,t,3032.0,,,,,,,3.0,725000.0
9,25.5,9/12/2017,Iconek,2940.0,2.0,PI,Whittlesea City Council,Wollert,2.0,Northern Metropolitan,6 Raychelsbury Pde,h,3750.0,148.0,-37.61929,3.0,383.0,2013.0,145.01613,3.0,540000.0
10,14.3,24/02/2018,Buxton,2555.0,1.0,PI,Kingston City Council,Moorabbin,2.0,Southern Metropolitan,38 Marrbridge Rd,h,3189.0,196.0,-37.93923,4.0,593.0,1950.0,145.05979,4.0,1210000.0
11,6.8,3/09/2017,Williams,6380.0,2.0,S,Hobsons Bay City Council,Williamstown,,Western Metropolitan,48 Smith Av,h,3016.0,,-37.86338,4.0,400.0,,144.88322,4.0,1630000.0
12,9.1,26/07/2016,Jas,984.0,1.0,SP,Hobsons Bay City Council,South Kingsville,1.0,Western Metropolitan,2/3 New St,h,3015.0,130.0,-37.8262,2.0,78.0,1980.0,144.8677,2.0,420000.0
13,7.9,1/07/2017,Jellis,5682.0,,VB,Boroondara City Council,Balwyn,,Southern Metropolitan,8 Madang Av,h,3103.0,,,,,,,5.0,3050000.0
14,6.6,18/03/2017,Sweeney,2417.0,0.0,SP,Maribyrnong City Council,Seddon,1.0,Western Metropolitan,2 Seddon St,h,3011.0,,-37.8083,2.0,248.0,,144.8896,2.0,1025000.0
15,5.6,17/09/2016,Nelson,10331.0,1.0,S,Boroondara City Council,Kew,1.0,Southern Metropolitan,74 Gladstone St,h,3101.0,89.0,-37.7995,2.0,424.0,1940.0,145.0418,2.0,1331000.0
16,10.3,3/03/2018,Buxton,6938.0,2.0,S,Bayside City Council,Brighton East,1.0,Southern Metropolitan,12 Henry St,h,3187.0,,-37.91751,3.0,632.0,,145.02181000000002,3.0,1700000.0
17,13.9,18/06/2016,Noel,9028.0,1.0,S,Manningham City Council,Doncaster,1.0,Eastern Metropolitan,1/1 Paul St,u,3108.0,,-37.7874,2.0,145.0,,145.1043,2.0,522500.0
18,3.0,1/07/2017,Greg,3280.0,0.0,S,Port Phillip City Council,Albert Park,1.0,Southern Metropolitan,126 Mills St,h,3206.0,,-37.8481,2.0,171.0,1900.0,144.9566,2.0,1535000.0
